Route,Airline,Flight Num,Aircraft,Date,Time,Latitude,Longitude,Course,Kts,mph,feet,Rate,Reporting Facility
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:53:26 AM,32.0121,32.01210169474116,← 257°,171,197,975, ,FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:53:42 AM,32.01209999880459,32.01210878475207,← 254°,179,206,"1,475","2,016",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:53:58 AM,32.012099992737014,32.01212656866891,← 256°,180,207,"2,050","2,156",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:54:14 AM,32.01209997485852,32.012161371307506,← 257°,183,211,"2,625","2,016",FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:54:30 AM,32.012099934705326,32.01222004097177,← 257°,188,216,"3,125","1,853",FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:54:48 AM,32.01209985831619,32.01230957766652,← 257°,191,220,"3,675","1,586",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:55:05 AM,32.012099728427216,32.01243688560653,← 265°,207,238,"4,050","1,250",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:55:24 AM,32.01209952498682,32.01260862322487,← 286°,223,257,"4,425","1,224",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:55:54 AM,32.012099226197705,32.01283112244409,← 291°,251,289,"5,050","1,325",FlightAware ADS-B (SDV / LLSD)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:56:24 AM,32.01209880987823,32.013110354475096,← 290°,278,320,"5,750","1,696",FlightAware ADS-B (SDV / LLSD)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:56:40 AM,32.01209825471941,32.01345192587084,← 282°,280,322,"6,350","2,408",FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:57:02 AM,32.01209754126124,32.01386109278241,← 274°,280,322,"7,275","2,337",FlightAware ADS-B (SDV / LLSD)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:57:32 AM,32.01209665257177,32.01434278506755,← 274°,285,328,"8,375","2,250",FlightAware ADS-B (BEV / LLBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:57:48 AM,32.012095574663476,32.0149016351379,← 274°,286,329,"9,000","2,115",FlightAware ADS-B (LLEK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:58:33 AM,32.01209429673589,32.0155420076889,← 274°,296,341,"10,525","1,742",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:58:50 AM,32.01209281129592,32.01626802856536,← 281°,307,353,"10,800","1,010",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:59:22 AM,32.0120911142942,32.017083611469026,← 289°,329,379,"11,350","1,282",FlightAware ADS-B (LLHS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 11:59:52 AM,32.012089205331066,32.01799248187463,← 289°,338,389,"12,125","1,650",FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:00:22 PM,32.01208708793927,32.018998197916446,← 289°,342,394,"13,000","1,790",FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:00:54 PM,32.01208476994256,32.02010416822287,← 289°,344,396,"13,975","1,766",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:01:24 PM,32.012082263873495,32.021313666840214,← 289°,345,397,"14,825","1,625",FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:01:54 PM,32.012079587437796,32.02262984545262,← 289°,348,400,"15,600","1,525",FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:02:24 PM,32.012076764010565,32.02405574315243,← 289°,352,405,"16,350","1,500",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:02:54 PM,32.01207382315786,32.02559429400751,← 289°,354,407,"17,100","1,427",FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:03:26 PM,32.01207080119104,32.02724833268163,← 296°,357,411,"17,825","1,214",FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:03:57 PM,32.0120677417634,32.02902059833634,← 296°,365,420,"18,375","1,180",FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:04:27 PM,32.012064696506336,32.03091373704147,← 296°,368,423,"19,025","1,300",FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:04:57 PM,32.0120617257001,32.03293030289906,← 296°,369,425,"19,675","1,303",FlightAware ADS-B (BEY / OLBA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:05:28 PM,32.01205889897496,32.03507275806316,← 296°,370,426,"20,350","1,328",FlightAware ADS-B (BEY / OLBA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:05:58 PM,32.01205629604139,32.03734347181118,← 296°,371,427,"21,025","1,125",FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:06:28 PM,32.01205400744039,32.03974471882228,← 296°,376,433,"21,475",875,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:06:58 PM,32.01205213531097,32.042278676790204,← 296°,383,441,"21,900",885,FlightAware ADS-B (BEY / OLBA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:07:29 PM,32.01205079417303,32.044947423480295,← 296°,387,445,"22,375",919,FlightAware ADS-B (BEY / OLBA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:08:00 PM,32.0120501117247,32.04775293332679,← 296°,392,451,"22,850",984,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:08:30 PM,32.01205022965,32.05069707366325,← 296°,394,453,"23,375",979,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:09:12 PM,32.01205130446066,32.0537816006371,← 303°,398,458,"24,025",813,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:09:42 PM,32.01205350836956,32.057008154897694,← 302°,405,466,"24,350",625,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:10:12 PM,32.01205703019452,32.06037825712929,← 302°,412,474,"24,650",825,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:10:42 PM,32.012062076288274,32.063893303494254,← 302°,413,475,"25,175",959,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:11:13 PM,32.01206887148953,32.06755456104479,← 302°,414,476,"25,625",934,FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:11:43 PM,32.012077660091414,32.071363163150146,← 302°,415,478,"26,125",950,FlightAware ADS-B (ECN / LCEN)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:12:13 PM,32.012088706821885,32.075320104984456,← 302°,417,480,"26,575",875,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:12:43 PM,32.012102297830964,32.07942623911281,← 302°,420,483,"27,000",800,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:13:13 PM,32.01211874167917,32.08368227120986,← 302°,423,487,"27,375",775,FlightAware ADS-B (TLV / LLBG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:13:43 PM,32.01213837032414,32.08808875593692,← 302°,426,490,"27,775",775,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:14:13 PM,32.012161540101744,32.09264609300104,← 302°,429,494,"28,150",750,FlightAware ADS-B (HFA / LLHA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:14:43 PM,32.012188632699015,32.097354523414964,← 302°,432,497,"28,525",725,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:15:13 PM,32.01222005611468,32.102214125976396,← 302°,435,501,"28,875",738,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:15:44 PM,32.012256245605194,32.10722481397918,← 302°,438,504,"29,275",738,FlightAware ADS-B (ECN / LCEN)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:16:14 PM,32.01229766460954,32.11238633217533,← 302°,438,504,"29,625",750,FlightAware ADS-B (BEY / OLBA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:16:44 PM,32.012344805650635,32.11769825399651,← 302°,441,507,"30,025",801,FlightAware ADS-B (BEY / OLBA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:17:27 PM,32.01239819122626,32.12315997901295,← 302°,442,509,"30,600",750,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:17:58 PM,32.01245837468278,32.12877073064348,← 302°,445,512,"30,950",661,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:19:34 PM,32.01252594114611,32.13452955397353,← 302°,452,520,"32,000",679,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:20:04 PM,32.01260150848628,32.14043531372426,← 302°,453,521,"32,375",850,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:20:34 PM,32.012685728294834,32.14648669241019,← 302°,450,518,"32,850",910,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:21:05 PM,32.012779286857864,32.1526821887145,← 302°,447,514,"33,300",861,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:21:35 PM,32.01288290610905,32.15902011610743,← 302°,442,509,"33,725",675,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:22:05 PM,32.01299734454732,32.1654986017321,← 302°,439,505,"33,975",275,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:22:35 PM,32.01312339810795,32.17211558557287,← 302°,439,505,"34,000",25,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:23:05 PM,32.0132619009774,32.17886881991792,← 301°,439,505,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:23:35 PM,32.01341372634369,32.185755869124584,← 302°,439,505,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:24:06 PM,32.013579787077035,32.192774109691435,← 302°,441,507,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:24:36 PM,32.013761036334444,32.19992073064231,← 302°,441,507,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:25:07 PM,32.01395846808486,32.20719273421985,← 301°,441,507,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:25:37 PM,32.01417311755079,32.214586936886946,← 301°,441,507,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:26:07 PM,32.014406061563214,32.22209997063324,← 301°,440,506,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:26:37 PM,32.01465841882715,32.22972828458252,← 301°,440,506,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:27:07 PM,32.01493135009636,32.2374681468951,← 301°,440,506,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:27:37 PM,32.01522605825547,32.2453156469602,← 301°,440,506,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:28:07 PM,32.01554378830983,32.253266697869414,← 301°,440,506,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:28:37 PM,32.01588582728325,32.261317039161646,← 301°,441,507,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:29:08 PM,32.016253504024824,32.26946223982919,← 301°,441,507,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:29:38 PM,32.016648188925465,32.27769770157524,← 301°,442,509,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:30:08 PM,32.01707129354617,32.28601866231085,← 301°,442,509,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:30:38 PM,32.01752427015943,32.29442019988066,← 301°,443,510,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:31:08 PM,32.01800861120642,32.30289723600484,← 301°,443,510,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:31:38 PM,32.018525848671935,32.31144454042528,← 301°,443,510,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:32:08 PM,32.01907755337938,32.32005673524475,← 301°,443,510,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:32:39 PM,32.01966533420891,32.32872829944601,← 301°,442,509,"34,000", ,FlightAware ADS-B (PFO / LCPH)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:33:11 PM,32.020290837243714,32.33745357357403,← 301°,442,509,"34,000", ,FlightAware ADS-B (LCA / LCLK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:33:41 PM,32.02095574484535,32.34622676457259,← 301°,443,510,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:34:11 PM,32.021661774661155,32.355041950762384,← 301°,442,509,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:34:41 PM,32.0224106785666,32.36389308694845,← 301°,442,509,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:35:11 PM,32.02320424154582,32.3727740096456,← 301°,443,510,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:35:41 PM,32.024044280513685,32.38167844240964,← 301°,444,511,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:36:16 PM,32.02493264309275,32.390600001256615,← 311°,449,517,"34,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:36:46 PM,32.02587120635542,32.39953220017014,← 313°,451,519,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:37:18 PM,32.026861875546366,32.40846845668766,← 314°,451,519,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:37:48 PM,32.027906582793236,32.41740209756236,← 314°,450,518,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:38:18 PM,32.029007285812774,32.426326364495786,← 314°,448,516,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:38:48 PM,32.03016596661894,32.43523441993394,← 314°,446,513,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:39:18 PM,32.031384630236275,32.444119352921774,← 313°,446,513,"34,000", ,FlightAware ADS-B (AKT / LCRA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:39:52 PM,32.03266530342782,32.452974185001125,← 314°,444,511,"34,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:40:22 PM,32.03401003343903,32.46179187614615,← 313°,442,509,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:40:53 PM,32.03542088675938,32.4705653307274,← 313°,441,507,"34,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:41:23 PM,32.03689994790368,32.479287403495086,← 313°,441,507,"34,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:41:53 PM,32.03844931821289,32.48795090557353,← 313°,440,506,"34,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:42:23 PM,32.0400711146727,32.49654861046119,← 313°,441,507,"34,000", ,FlightAware ADS-B (AYT / LTAI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:42:53 PM,32.04176746874942,32.50507326002743,← 313°,441,507,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:43:23 PM,32.043540525243685,32.51351757049688,← 313°,441,507,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:43:53 PM,32.045392441162065,32.521874238411584,← 313°,441,507,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:44:24 PM,32.04732538460562,32.53013594656206,← 313°,439,505,"34,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:45:02 PM,32.049341533685826,32.538295369863306,← 313°,439,505,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:45:32 PM,32.05144307546455,32.546345181170004,← 313°,438,504,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:46:02 PM,32.05363220491558,32.5542780570248,← 313°,437,503,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:46:33 PM,32.055911123905254,32.56208668333355,← 313°,438,504,"34,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:47:03 PM,32.05828204018959,32.569763760961706,← 313°,438,504,"34,000",44,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:47:41 PM,32.060747166435824,32.57730201123284,← 313°,440,506,"34,050",397,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:48:11 PM,32.063308719263176,32.58469418132761,← 313°,439,505,"34,450",900,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:48:41 PM,32.06596891830059,32.591933049577975,← 313°,436,502,"34,950",950,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:49:11 PM,32.06872998525761,32.59901143065376,← 313°,434,499,"35,400",725,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:49:41 PM,32.071594143004305,32.605922180639716,← 313°,435,501,"35,675",516,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:50:12 PM,32.074563614657436,32.61265820200004,← 313°,435,501,"35,925",300,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:50:46 PM,32.077640622675894,32.619212448420186,← 313°,437,503,"36,000",67,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:51:19 PM,32.080827387966465,32.6255779295186,← 313°,437,503,"36,000", ,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:51:52 PM,32.08412612900095,32.63174771542174,← 313°,438,504,"36,000", ,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:52:22 PM,32.08753906094242,32.63771494120028,← 313°,439,505,"36,000", ,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:52:52 PM,32.09106839477825,32.64347281116539,← 313°,440,506,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:53:22 PM,32.094716336455775,32.6490146030268,← 313°,440,506,"36,000", ,FlightAware ADS-B (HER / LGIR)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:53:54 PM,32.09848508602186,32.65433367190779,← 313°,439,505,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:54:24 PM,32.102376836765444,32.65942345421537,← 313°,438,504,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:54:55 PM,32.10639377436167,32.66427747136556,← 312°,437,503,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:55:25 PM,32.11053807601605,32.66888933336316,← 312°,435,501,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:55:56 PM,32.114811909610225,32.67325274223274,← 313°,434,499,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:56:26 PM,32.119217432846156,32.67736149530418,← 313°,431,496,"36,000", ,FlightAware ADS-B (GZP / LTFG)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:57:03 PM,32.12375679239592,32.681209488342695,← 312°,424,488,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:57:33 PM,32.128432123054814,32.68479071852533,← 312°,423,487,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:58:04 PM,32.13324554689463,32.68809928726852,← 312°,422,486,"36,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:58:34 PM,32.13819917241425,32.69112940291114,← 312°,422,486,"36,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:59:04 PM,32.143295093687186,32.69387538325474,← 313°,423,487,"36,000", ,FlightAware ADS-B (RHO / LGRP)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 12:59:34 PM,32.14853538950671,32.69633165796144,← 312°,423,487,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:00:04 PM,32.153922122527355,32.69849277081203,← 312°,425,489,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:00:34 PM,32.159457338400756,32.700353381829004,← 312°,426,490,"36,000", ,FlightAware ADS-B (JSI / LGSK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:01:04 PM,32.165143064906886,32.70190826926489,← 312°,426,490,"36,000", ,FlightAware ADS-B (CHQ / LGSA)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:01:34 PM,32.170981311080425,32.70315233145867,← 312°,423,487,"36,000", ,FlightAware ADS-B (JSI / LGSK)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:02:04 PM,32.1769740663327,32.70408058856278,← 312°,422,486,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:02:34 PM,32.18312329956964,32.70468818414268,← 312°,423,487,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:03:04 PM,32.18943095830736,32.704970386649464,← 312°,424,488,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:03:34 PM,32.19589896778634,32.704922590767076,← 312°,424,488,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:04:04 PM,32.20252923008484,32.704540318636354,← 312°,421,484,"36,000", ,FlightAware ADS-B (DLM / LTBS)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:04:34 PM,32.20932362323411,32.70381922095628,← 312°,421,484,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:05:05 PM,32.21628400033652,32.70275507796415,← 312°,421,484,"36,000", ,FlightAware ADS-B (JKH / LGHI)
TLV - KEF,Icelandair,ICE551,B38M,8/7/2023,Sat 01:05:35 PM,32.223412188688584,32.70134380029586,← 312°,421,484,"36,000", ,FlightAware ADS-B (JKH / LGHI)
